0,振動寶石,200,
1,壺蟲,500,
2,振動杖,2000,
3,肛門蟲,5000,
4,假陽具,2000,
5,眼罩,4000,
6,水晶球,7000,
7,陰蒂夾,2000,
8,乳頭夾,3000,
9,口塞,1000,
10,鞭,200,
11,針,2000,
12,飛機杯,4000,
13,地墊,5000,;お風呂場でプレイの幅が広がる
14,繩子,3000,
15,灌腸+肛塞,8000,
16,大鏡子,30000,;羞恥PLAYが可能になる
17,搾乳器,1500,
18,項圈,5000,;野外PLAYが可能になる
19,圍裙,10000,;新妻PLAYが可能になる
20,肛珠,7000,
21,電極接頭,50000,
22,野狗,3000,;獸姦調教が可能に
23,拘束衣,10000,;助手専用
;,,,
24,安全套,100,;定番の避妊具、避妊には十分だが、使い捨て
25,潤滑液,200,
26,媚藥,2000,;他のeraシリーズの媚藥にあたるアイテム
27,利尿劑,1000,
28,水晶球魔力源,500,ビデオカメラの使用に必要。使い捨て
29,打蟲藥,500,;寄生を解除する
;,,,
30,營養劑,1000,;體力を300回復する
31,薰香,3000,;否定點數を半減する
;33,WG電池,100000,;キャラの壽命を延ばす
34,穿孔工具,5000,;キャラにピアスを付ける
35,觀戰卷,700,;闘技場利用に必要
;,,,
37,好感測定儀,1000,;調教対象の好感度が表示されるようになる
38,魅力鱗甲,100000,;マスターにTAL:魅惑がつく
39,【魔界知識】,100000,;マスターにTAL:秘密知識がつく
;,,,
40,排卵誘發劑,2000,;敢えて孕ませる場合に使う。
41,生毛劑,2000,;陰毛を生やす
;,,,
42,【調合知識】,40000,;マスターにTAL:調合知識がつく
52,【技巧等級】,5000,;マスターの技巧が上昇
53,【經驗值】,1000,;經驗值を10得る
;陷阱関係素質,,,
54,【淫魔知識】,100000,;魔王にTAL:淫魔知識がつく
55,【陷阱等級】,5000,;陷阱の効果を増やす
56,【魔蟲知識】,10000,;一部の陷阱を強化するTAL:魔蟲知識がつく
;ここから陷阱,,,
60,落穴,10,
61,射箭陷阱,50,
62,傳送陷阱,80,
63,單向通行陷阱,100,
64,催淫陷阱,120,
65,觸手地板陷阱,150,
66,媚藥泥沼陷阱,170,
67,自慰催眠陷阱,180,
68,擬態房間陷阱,190,
69,召喚陷阱,1000,
70,夢魔陷阱,180,
71,史萊姆房間陷阱,90,
72,蜘蛛網,10,
73,奸商,70,
74,黑暗的陷阱,200,
75,彈射,180,
76,魔力擴散陷阱,300,
77,油壺陷阱,50,
78,火箭發射陷阱,110,
79,肛門蟲陷阱,80,
80,淫蟲陷阱,60,
81,寶石陷阱,20,
82,攻擊效果陷阱,40,
83,防禦效果陷阱,40,
84,魔法傷害陷阱,40,
85,鬼手陷阱,100,
;,,,
90,觸手生物,50000,;觸手調教が可能に
91,裝飾的戒指,100,;呪いアイテム
99,【陷阱裝置優化知識】,200000,;命中成功率100%
;,,,
;ここから怪物,,,
100,狗頭人,100,;1Fのユニット
101,哥布林,100,
102,黏液怪,100,
103,龍頭蒼蠅,200,
104,喪屍,10,
110,獸人,200,;2Fのユニット
111,熊地精,180,
112,藤蔓怪,240,
113,喪屍蟲,360,
114,喪屍獵犬,100,
120,蜥蜴人,350,;3Fのユニット
121,食人魔,230,
122,食鎧者,400,
123,小仙子,420,
124,毒蜈蚣,200,
130,巨魔,430,;4Fのユニット
131,石像鬼,340,
132,小惡魔,450,
133,男巫,500,
134,報喪女妖,300,
140,下等惡魔,510,;5Fのユニット
141,地獄獵犬,480,
142,史萊姆,570,
143,女巫,600,
144,吸血樹,400,
150,巨人,630,;6Fのユニット
151,奇美拉,560,
152,魅魔,680,
153,男祭司,700,
154,夜少女,500,
160,女忍,710,;7Fのユニット
161,黑暗騎士,690,
162,食腦魔,750,
163,女祭司,800,
164,小精靈,600,
170,忍者,830,;8Fのユニット
171,無頭騎士,740,
172,吸血鬼,890,
173,幽靈,900,
174,死亡蝎,700,
180,大惡魔,1000,;9Fのユニット
181,死亡領主,1000,
182,莉莉絲,1000,
183,夢魘,1000,
184,眼魔,1000,
190,骷髏兵,1,;穴埋め用の骷髏兵と、8F以降にランダム遭遇する強力怪物
191,黑暗救世主,10000,
192,九尾,10000,
193,混沌龍,10000,
;,,,
;201～調教可能怪物。現狀280までを確保とする,,,
201,精英史萊姆,15,
202,精英狗頭人,15,
203,精英蟻怪,15,
204,精英芽怪,15,
205,精英海妖,15,
206,精英小仙子,15,
207,巨人酋長,15,
208,精英惡魔,15,;男勇者できてから考える
209,精英妖魔,15,
210,獵犬首領,15,
;,,,
;300以降は裝備品,,,
300,裝飾戒指,1,;何も無
301,破壞戒指,1,;ダメージ増加
302,守護戒指,1,;裝備リセット時強化
303,加速戒指,1,;先手になりやすく
304,再生戒指,1,;回復量増加
305,意志戒指,1,;気力回復量増加
306,慾望戒指,1,;容易陷落付與
307,怪力戒指,1,;裝備リセット時攻撃値増加
308,強韌戒指,1,;裝備リセット時防禦値増加
309,支配戒指,1,;怪物を仲間に
310,成長戒指,1,;經驗值増加
311,虛弱戒指,1,;裝備リセット時ペナルティ
312,鈍重戒指,1,;後手になりやすく
313,死之戒指,1,;體力と気力の回復量減衰
314,衰弱戒指,1,;基本攻撃値?基本防禦値減少
315,洗腦戒指,1,;即陥落＆順從増加
316,陷阱迴避戒指,1,;陷阱を高確率で避ける
317,侵攻戒指,1,;侵攻速度が上昇する
318,結界戒指,1,;必ずキャンプする
319,試煉戒指,1,;侵攻減速＆キャンプ禁止（結界より上位）
320,不幸戒指,1,;陷阱回數増加＆陷阱避け無効化
;340以降は武器,,,
340,劍,1,;攻撃値をそのままダメージとする裝備
341,法杖,1,;ダメージが下がる代わりに気力が回復する裝備
342,鞭子,1,;ダメージが下がる代わりに防禦力へのダメージが増加する裝備
343,匕首,1,;ダメージが下がる代わりに連続攻撃が可能な裝備
344,手裡劍,1,;弾數のある限り連続攻撃が可能になる裝備。弾が盡きるとダメージ低下
345,弓箭,1,;弾數のあり限りダメージが強化される裝備。弾が盡きると攻撃不可
346,權杖,1,;ミスする代わりにダメージが大きい裝備
347,戰錘,1,;よくミスする代わりにかなりダメージの大きい裝備
348,鐮刀,1,;ミスする代わりに気力が回復する裝備
349,觸手,1,;気力が下がる代わりに、敵勇者の気力へのダメージが増える裝備
350,細劍,1,;連続攻撃が可能な裝備、匕首の上位互換
351,偃月刀,1,;ミスする代わりにダメージが大きい裝備.。メイスの上位版
352,指虎,1,;ダガーよりダメージが低く、ダガーより連続攻撃する
;400以降は消耗品,,,
400,草藥,1,;HP500回復
401,回覆藥水,1,;気力500回復
402,回覆之杖,1,;HP200回復複數使用可能
403,精神之杖,1,;気力200回復複數使用可能
404,力之種子,1,;攻撃+1
405,守之種子,1,;防禦+1
406,經驗硬幣,1,;經驗值+50
407,命之種子,1,;最大HP+10
408,心之種子,1,;最大気力+5
409,經驗銀幣,1,;經驗值+150
410,聖水,1,;寄生回復
411,墮落的寶石箱,1,;換金用
412,透明化之藥,1,;忍術相當の迴避力UP
413,英雄之藥,1,;攻撃・防禦・迴避率UP
;500以降は設施,,,
500,商店街,1,;現金収入
501,沼地,1,;侵攻スピードを下げる
502,人類牧場,1,;肉便器の數に応じても怪物が増える
503,冰室,1,;攻撃力を下げる
504,熱砂,1,;防禦力を下げる
505,迷宮,1,;侵攻スピードを下げる高級版
506,博物館,1,;石像の數に応じて士気を下げる
507,娼館街,1,;娼婦の奴隷が階層に留まるようになる。イベントも発生する
;550以降は追加罠,,,
;600以降は追加モンスター,,,
600,野蠻人,1,
601,巨蟻,1,
602,紅皮獸人,1,
603,食人花,1,
604,大猩猩,1,
605,圖騰女郎,1,
606,大象,1,
607,赤紅薩滿,1,
608,巨魔法師,1,
609,森林巨龍,1,
;1000以降は集団戦の敵、一様1999までを確保とする,,,
1000,十字軍戰士,1,
1001,十字軍神官,1,
1002,十字軍騎士,1,
1003,十字軍法師,1,
1004,十字軍獵手,1,
1005,十字軍戰士,1,
1006,十字軍神官,1,
1007,十字軍騎士,1,
1008,十字軍法師,1,
1009,十字軍獵手,1,