;-------------------------------------------------,
;経験,
;-------------------------------------------------,
0,私處經驗
1,肛門經驗
2,絕頂經驗
3,射精經驗
5,性交經驗
8,精飲絕頂經驗
;,
10,自慰經驗
11,調教自慰經驗
;,
20,精液經驗
21,侍奉快樂經驗
22,口交經驗
23,愛情經驗
;,
30,被虐快樂經驗
31,放尿經驗
32,肛門快樂經驗
33,施虐快樂經驗
34,陰蒂經驗
35,乳房經驗
;,
40,百合經驗
41,斷背經驗
;,
50,異常經驗
51,緊縛經驗
52,私處擴張經驗
53,肛門擴張經驗
54,噴奶經驗
55,觸手經驗
56,獸姦經驗
57,藥物經驗
;,
60,生育經驗
62,異種妊娠經驗
;,
65,調教失神經驗
;,
61,料理經驗
70,拍攝經驗
71,歌唱經驗
72,舞蹈經驗
73,調教會話經驗
74,賣淫經驗
75,營業愛情經驗
76,鬥技勝利經驗
;,
80,戰鬥經驗
81,勳章經驗
66,狂王調教經驗
99,異界經驗